"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"478","Autosticha modicella","","Autostichidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"479","Galagete protozona","","Autostichidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"480","Deoclona yuccasella","","Autostichidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"481","Autostchidae gen. sp.","","Autostichidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"482","Batrachedra sp.","","Batrachedridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"483","Blastobasidae gen. sp.","","Blastobasidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"484","Neoblastobasis spiniharpella","","Blastobasidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"485","Coleophora cratipennella","","Coleophoridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"486","Pancalia schwartzella","","Cosmopterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"487","Cosmopterix sp.","","Cosmopterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"488","Hyposmocoma turdella","","Cosmopterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"489","Aeolanthes semiostrina","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"490","Agonopterix alstroemeriana","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"491","Bibarrambla allenella","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"492","Filinota brunniceps","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"493","Ethmia eupostica","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"494","Eupselia carpocapsella","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"495","Hypertropha tortriciformis","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"496","Thudaca haplonota","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"497","Odites leucostola","","Depresariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"498","Antaeotricha renselariana","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"499","Stenoma patens","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"500","Acria ceramitis","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"501","Psilocorsis reflexella","","Depresariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"502","Rhyzosthene falciformis","","Depresariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"503","Cosmiotes illectella","","Elachistidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"504","Elachista tengstromi","","Elachistidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"505","Monochroa cleodoroides","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"506","Aristotelia mesotenebrella","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"507","Pectinophora gossypiella","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"508","Encolapta tegulifera","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"509","Dichomeris punctidiscella","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"510","Aroga trialbomaculella","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"511","Caryocolum pulatella","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"512","Friseria cockerelli","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"513","Stenolechia bathrodyas","","Gelechiidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"514","Gelechioidea gen. sp.","","incertae sedis","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"515","Homaloxestis croceata","","Lecithoceridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"516","Lecithocera cheristis","","Lecithoceridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"517","Diurnea fagella","","Lypusidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"518","Lypusa maurella","","Lypusidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"519","Mompha cephalonthiella","","Momphidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"520","Mompha sp. nov.","","Momphidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"521","Deuterogonia pudorina","","Oecophoridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"522","Promalactis jezonica","","Oecophoridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"523","Wingia aurata","","Oecophoridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"524","Rhamphura sp.","","Scythrididae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"525","Scythris immaculatella","","Scythrididae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"526","Hieromantis kurokoi","","Stathmopodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"527","Stathmopoda melanochra","","Stathmopodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"528","Stathmopodidae gen. sp.","","Stathmopodidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"529","Illidgea sp.","","Xyloryctidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"530","Leistarcha scitissimella","","Xyloryctidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"531","Tymbophora peltastis","","Xyloryctidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"532","Epicopeia hainesii","","Epicopeiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"533","Psychostrophia melangaria","","Epicopeiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"534","Archiearis parthenias","","Geometridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"535","Dichromodes sp. ""7""","","Geometridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"536","Alsophila pometaria","","Geometridae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"537","Biston betularia","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"538","Odontothera sp. ""valdiviata AH01""","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"539","Hasodima elegans","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"540","Chlorosea margaretaria","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"541","Hypobapta xenomorpha","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"542","Eupithecia acutipennis","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"543","Earophila badiata","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"544","Trichopteryx carpinata","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"545","Orthonama obstipata","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"546","Dinophalus sp. cf. lechriomita","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"547","Cyclophora nanaria","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"548","Scopula limboundata","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"549","Idaea demissaria","","Geometridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"550","Coronidia orithea","","Sematuridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"551","Homidiana sp.","","Sematuridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"552","Sematura luna","","Sematuridae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"553","Metorthocheilus emarginatus","","Uraniidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"554","Syngria druidaria","","Uraniidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"555","Acropteris sparsaria","","Uraniidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"556","Lyssa zampa","","Uraniidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"557","Urapteroides astheniata","","Uraniidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"558","Bucculatrix sp.","","Bucculatricidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"559","Spulerina dissotoma","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"560","Caloptilia bimaculatella","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"561","Cameraria gautheriella","","Gracillariidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"562","Phyllonorycter aberrans","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"563","Phyllonorycter oxyacanthae","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"564","Eumetriochroa hederae","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"565","Epicephala relictella","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"566","Parectopa robiniella","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"567","Callisto denticulella","","Gracillariidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"568","Agriothera elaeocarpophaga","","Roeslerstammiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"569","Roeslerstammia pronubella","","Roeslerstammiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"570","Elhamma australasiae","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"571","Gazoryctra mathewi","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"572","Korscheltellus gracilis","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"573","Ogygioses sp.","","Hepialidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"574","Oxycanus diremptus","","Hepialidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"575","Phymatopus hectoides","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"576","Prototheora sp.","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"577","Trictena argyrosticha","","Hepialidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"578","Heterobathmia pseuderiocrania","","Heterobathmiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"579","Hyblaea firmamentum","","Hyblaeidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"580","Hyblaea ibidias","","Hyblaeidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"581","Hydropsyche sp.","","Hydropsychidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"582","Plectrocnemia conspersa","","Polycentropodidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"583","Agapetus sp.","","Glossosomatidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"584","Birthana cleis","","Immidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"585","Imma tetrascia","","Immidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"586","Immidae gen. â€œJanzen01â€ sp. ""Janzen01""","","Immidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"587","Klimeschia transversella","","Douglasiidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"588","Millieria dolosalis","","Millieriidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"589","Pseudurgis sp.","","","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"590","montana unknown (likely nocturnal)","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"591","Chondrostega vandalicia","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"592","Lasiocampa quercus","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"593","Macrothylacia rubi","","Lasiocampidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"594","Heteropacha rileyana","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"595","Tolype notialis","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"596","Poecilocampa populi","","Lasiocampidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"597","Limnephilini gen. sp.","","Limnephilidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"598","Lophocorona astiptica","","Lophocoronidae","","","","Crepuscular","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"599","Epimartyria pardella","","Micropterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"600","Micropterigidae gen. nov. sp. nov.","","Micropterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"601","Micropterix calthella","","Micropterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"602","Palaeomicra chalcophanes","","Micropterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"603","Sabatinca zonodoxa","","Micropterigidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"604","Bedosia turgida","","Mimallonidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"605","Druentia alsa","","Mimallonidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"606","Eadmuna sp. ""Janzen01""","","Mimallonidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"607","Euphaneta divisa","","Mimallonidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"608","Trogoptera sp. ""salvita DHJ02""","","Mimallonidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"609","Mnesarchaea acuta","","Mnesarchaeidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"610","Apoplania valdiviana","","Neopseustidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"611","Neopseustis meyricki","","Neopseustidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"612","Enteucha acetosae","","Nepticulidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"613","Trifurcula pallidella","","Nepticulidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"614","Fomoria hypericella","","Nepticulidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"615","Pectinivalva sp. ""B""","","Nepticulidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"616","Opostega quadristrigella","","Opostegidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"617","Gen. nov. sp.","","Opostegidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"618","Hypoprepia miniata","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"619","Amata fortunei","","Erebidae","","","","Diurnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"620","Eudocima salaminia","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"621","Catocala ultronia","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"622","Hypena scabra","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"623","Micronoctua karsholti","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"624","Rivula propinqualis","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"625","Phobolosia anfracta","","Erebidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"626","Gyrtona sp.","","Euteliidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"627","Cucullia convexipennis","","Noctuidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"628","Caradrina meralis","","Noctuidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"629","Mythimna unipuncta","","Noctuidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"630","Trichosea champa","","Noctuidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
"631","Trichoplusia ni","","Noctuidae","","","","Nocturnal","","Review article","1","","https://doi.org/10.1007/s13127-017-0350-6","",NA,"","","",NA,NA,"","",NA,"","","",""
